id,categoria,segmento,edad,nivel_educativo,estado_civil,Genero,PAC,contrato,estrato,grupo_edad
1726,A,Segemnto_Basico,32,primaria,soltero,F,3,4,1.0,26-35
1727,A,Segemnto_Basico,56,primaria,separado,F,3,1,,56-65
1728,A,Segemnto_Basico,26,primaria,soltero,M,3,1,,26-35
1729,B,Segmento_Medio,25,tecnico_tecnologico,soltero,M,1,1,3.0,18-25
1730,B,Segmento_Medio,37,tecnico_tecnologico,soltero,M,1,4,3.0,36-45
1731,C,Segmento_Medio,31,primaria,casado,F,3,2,,26-35
1732,A,Segemnto_Basico,38,primaria,soltero,M,3,1,2.0,36-45
1733,A,Segemnto_Basico,61,primaria,viudo,M,3,1,1.0,56-65
1734,A,Segemnto_Basico,32,primaria,viudo,F,3,2,2.0,26-35
1735,B,Segmento_Medio,22,tecnico_tecnologico,separado,F,1,1,1.0,18-25
1736,A,Segemnto_Basico,62,primaria,soltero,M,3,2,1.0,56-65
1737,A,Segemnto_Basico,40,primaria,separado,F,3,3,1.0,36-45
1738,C,Segmento_Joven,19,primaria,soltero,M,3,1,1.0,18-25
1739,B,Segmento_Medio,29,tecnico_tecnologico,casado,F,1,2,,26-35
1740,B,Segmento_Medio,27,tecnico_tecnologico,viudo,F,1,1,3.0,26-35
1741,B,Segmento_Medio,33,secundaria,viudo,M,2,2,1.0,26-35
1742,B,Segmento_Medio,27,tecnico_tecnologico,viudo,M,1,2,2.0,26-35
1743,B,Segmento_Medio,39,tecnico_tecnologico,viudo,M,1,2,4.0,36-45
1744,A,Segemnto_Basico,54,primaria,viudo,F,3,2,,46-55
1745,B,Segmento_Medio,59,tecnico_tecnologico,soltero,F,1,4,4.0,56-65
1746,A,Segemnto_Basico,42,primaria,soltero,M,3,4,2.0,36-45
1747,C,Segmento_Medio,64,primaria,casado,F,3,1,,56-65
1748,B,Segmento_Medio,58,tecnico_tecnologico,soltero,M,1,1,,56-65
1749,B,Segmento_Medio,60,tecnico_tecnologico,separado,F,1,3,4.0,56-65
1750,C,Segmento_Medio,47,tecnico_tecnologico,separado,M,1,1,,46-55
1751,A,Segemnto_Basico,53,primaria,separado,M,3,4,,46-55
1752,A,Segemnto_Basico,65,primaria,viudo,M,3,2,3.0,56-65
1753,A,Segemnto_Basico,59,primaria,viudo,F,3,4,1.0,56-65
1754,A,Segemnto_Basico,58,secundaria,soltero,F,2,1,2.0,56-65
1755,C,Segmento_Medio,24,primaria,casado,M,3,4,,18-25
1756,A,Segemnto_Basico,47,primaria,soltero,F,3,4,1.0,46-55
1757,C,Segmento_Medio,46,primaria,casado,F,3,1,,46-55
1758,C,Segmento_Medio,63,tecnico_tecnologico,viudo,M,1,2,4.0,56-65
1759,A,Segemnto_Basico,35,primaria,soltero,M,3,4,,26-35
1760,A,Segemnto_Basico,52,primaria,soltero,F,3,2,2.0,46-55
1761,B,Segmento_Medio,46,tecnico_tecnologico,separado,M,1,4,4.0,46-55
1762,A,Segemnto_Basico,55,primaria,soltero,F,3,4,2.0,46-55
1763,C,Segmento_Medio,61,primaria,viudo,M,3,4,,56-65
1764,B,Segmento_Medio,60,secundaria,casado,M,2,4,2.0,56-65
1765,C,Segmento_Medio,42,tecnico_tecnologico,casado,F,1,2,,36-45
1766,A,Segemnto_Basico,59,primaria,separado,M,3,2,2.0,56-65
1767,A,Segemnto_Basico,29,primaria,casado,F,3,3,2.0,26-35
1768,A,Segemnto_Basico,62,primaria,soltero,M,3,3,,56-65
1769,A,Segemnto_Basico,63,primaria,viudo,F,3,4,1.0,56-65
1770,B,Segmento_Medio,59,tecnico_tecnologico,casado,M,1,1,1.0,56-65
1771,A,Segemnto_Basico,48,primaria,soltero,M,3,1,1.0,46-55
1772,A,Segemnto_Basico,61,primaria,casado,M,3,1,1.0,56-65
1773,A,Segemnto_Basico,55,primaria,casado,F,3,3,,46-55
1774,A,Segemnto_Basico,60,primaria,soltero,F,3,3,2.0,56-65
1775,C,Segmento_Alto,23,tecnico_tecnologico,separado,M,1,1,,18-25
1776,A,Segmento_Medio,22,primaria,viudo,F,3,4,3.0,18-25
1777,C,Segmento_Medio,52,tecnico_tecnologico,casado,M,1,3,,46-55
1778,A,Segemnto_Basico,45,primaria,soltero,M,3,4,2.0,36-45
1779,C,Segmento_Medio,45,primaria,separado,F,3,2,1.0,36-45
1780,C,Segmento_Medio,29,primaria,viudo,M,3,2,,26-35
1781,A,Segemnto_Basico,65,primaria,separado,M,3,2,2.0,56-65
1782,A,Segmento_Medio,18,primaria,separado,M,3,3,1.0,18-25
1783,B,Segmento_Medio,51,secundaria,casado,F,2,1,1.0,46-55
1784,A,Segmento_Joven,22,primaria,soltero,F,3,3,2.0,18-25
1785,A,Segemnto_Basico,25,secundaria,viudo,F,2,2,,18-25
1786,B,Segmento_Medio,51,tecnico_tecnologico,viudo,F,1,4,,46-55
1787,B,Segmento_Medio,56,tecnico_tecnologico,separado,F,1,4,2.0,56-65
1788,A,Segemnto_Basico,31,primaria,casado,F,3,4,1.0,26-35
1789,C,Segmento_Medio,49,tecnico_tecnologico,viudo,M,1,1,,46-55
1790,A,Segemnto_Basico,35,primaria,separado,M,3,2,,26-35
1791,B,Segmento_Medio,63,secundaria,soltero,F,2,2,,56-65
1792,A,Segemnto_Basico,53,primaria,separado,M,3,3,2.0,46-55
1793,B,Segmento_Medio,49,tecnico_tecnologico,soltero,F,1,2,1.0,46-55
1794,A,Segemnto_Basico,61,primaria,soltero,F,3,1,1.0,56-65
1795,A,Segemnto_Basico,32,primaria,viudo,M,3,4,1.0,26-35
1796,A,Segemnto_Basico,42,primaria,viudo,F,3,2,1.0,36-45
1797,C,Segmento_Medio,44,secundaria,viudo,F,2,2,,36-45
1798,A,Segemnto_Basico,53,secundaria,soltero,F,2,1,2.0,46-55
1799,A,Segmento_Joven,22,primaria,soltero,M,3,2,2.0,18-25
1800,A,Segemnto_Basico,30,primaria,soltero,F,3,2,1.0,26-35
1801,C,Segmento_Medio,45,tecnico_tecnologico,casado,F,1,2,,36-45
1802,B,Segmento_Medio,62,tecnico_tecnologico,soltero,M,1,4,1.0,56-65
1803,C,Segmento_Medio,32,tecnico_tecnologico,soltero,M,1,4,,26-35
1804,C,Segmento_Medio,46,tecnico_tecnologico,viudo,M,1,2,4.0,46-55
1805,C,Segmento_Medio,35,tecnico_tecnologico,separado,M,1,1,2.0,26-35
1806,C,Segmento_Medio,30,tecnico_tecnologico,separado,M,1,2,2.0,26-35
1807,A,Segemnto_Basico,59,primaria,soltero,F,3,2,1.0,56-65
1808,C,Segmento_Medio,51,tecnico_tecnologico,viudo,F,1,2,4.0,46-55
1809,B,Segmento_Medio,55,tecnico_tecnologico,separado,M,1,4,4.0,46-55
1810,A,Segemnto_Basico,25,primaria,soltero,F,3,1,3.0,18-25
1811,B,Segmento_Medio,55,tecnico_tecnologico,soltero,M,1,3,1.0,46-55
1812,C,Segmento_Medio,45,tecnico_tecnologico,separado,F,1,4,4.0,36-45
1813,B,Segmento_Medio,38,tecnico_tecnologico,casado,M,1,3,3.0,36-45
1814,A,Segemnto_Basico,61,primaria,casado,F,3,3,3.0,56-65
1815,A,Segemnto_Basico,27,primaria,soltero,M,3,3,3.0,26-35
1816,A,Segemnto_Basico,35,primaria,soltero,F,3,3,3.0,26-35
1817,A,Segemnto_Basico,32,primaria,separado,F,3,4,2.0,26-35
1818,A,Segemnto_Basico,29,primaria,soltero,M,3,4,1.0,26-35
1819,C,Segmento_Medio,48,primaria,casado,M,3,4,,46-55
1820,A,Segemnto_Basico,61,primaria,soltero,M,3,3,1.0,56-65
1821,A,Segemnto_Basico,50,primaria,soltero,M,3,3,2.0,46-55
1822,A,Segemnto_Basico,46,primaria,soltero,M,3,1,1.0,46-55
1823,C,Segmento_Medio,39,tecnico_tecnologico,casado,F,1,4,4.0,36-45
1824,C,Segmento_Medio,22,tecnico_tecnologico,separado,F,1,2,,18-25
1825,C,Segmento_Alto,44,tecnico_tecnologico,soltero,M,1,3,3.0,36-45
1826,A,Segemnto_Basico,53,primaria,soltero,M,3,2,1.0,46-55
1827,A,Segemnto_Basico,41,primaria,soltero,M,3,1,1.0,36-45
1828,B,Segmento_Medio,57,tecnico_tecnologico,separado,M,1,1,1.0,56-65
1829,A,Segemnto_Basico,50,primaria,viudo,F,3,3,1.0,46-55
1830,A,Segemnto_Basico,48,primaria,separado,F,3,2,3.0,46-55
1831,A,Segemnto_Basico,39,secundaria,soltero,F,2,2,1.0,36-45
1832,C,Segmento_Medio,33,primaria,soltero,F,3,1,,26-35
1833,A,Segemnto_Basico,30,primaria,soltero,F,3,3,2.0,26-35
1834,C,Segmento_Medio,41,primaria,separado,M,3,1,,36-45
1835,A,Segemnto_Basico,64,primaria,soltero,F,3,3,1.0,56-65
1836,C,Segmento_Medio,45,primaria,separado,F,3,1,1.0,36-45
1837,A,Segemnto_Basico,47,primaria,soltero,M,3,3,1.0,46-55
1838,A,Segemnto_Basico,35,primaria,soltero,M,3,3,1.0,26-35
1839,A,Segemnto_Basico,64,primaria,soltero,M,3,2,1.0,56-65
1840,A,Segemnto_Basico,29,primaria,separado,F,3,2,,26-35
1841,A,Segemnto_Basico,53,primaria,viudo,F,3,1,,46-55
1842,A,Segemnto_Basico,53,primaria,soltero,F,3,2,1.0,46-55
1843,A,Segemnto_Basico,65,primaria,soltero,F,3,4,,56-65
1844,B,Segmento_Medio,62,secundaria,viudo,M,2,4,3.0,56-65
1845,A,Segemnto_Basico,43,primaria,soltero,M,3,4,,36-45
1846,C,Segmento_Medio,38,primaria,separado,M,3,2,1.0,36-45
1847,C,Segmento_Medio,48,primaria,separado,F,3,3,,46-55
1848,A,Segemnto_Basico,27,primaria,separado,F,3,4,3.0,26-35
1849,B,Segmento_Joven,19,tecnico_tecnologico,soltero,F,1,4,2.0,18-25
1850,C,Segmento_Medio,38,primaria,separado,M,3,2,,36-45
1851,A,Segemnto_Basico,46,primaria,casado,M,3,3,3.0,46-55
1852,B,Segmento_Medio,42,tecnico_tecnologico,soltero,F,1,2,2.0,36-45
1853,A,Segemnto_Basico,25,primaria,soltero,F,3,3,1.0,18-25
1854,C,Segmento_Joven,20,tecnico_tecnologico,soltero,M,1,4,,18-25
1855,C,Segmento_Joven,19,primaria,soltero,M,3,3,,18-25
1856,A,Segemnto_Basico,57,primaria,casado,M,3,1,1.0,56-65
1857,A,Segemnto_Basico,43,primaria,soltero,M,3,2,3.0,36-45
1858,A,Segemnto_Basico,44,primaria,soltero,M,3,3,3.0,36-45
1859,A,Segemnto_Basico,44,primaria,casado,M,3,2,2.0,36-45
1860,B,Segmento_Medio,63,tecnico_tecnologico,soltero,M,1,1,,56-65
1861,C,Segmento_Medio,43,primaria,separado,M,3,2,,36-45
1862,A,Segmento_Joven,22,primaria,soltero,F,3,2,3.0,18-25
1863,C,Segmento_Medio,20,tecnico_tecnologico,casado,M,1,3,,18-25
1864,B,Segmento_Medio,45,tecnico_tecnologico,viudo,F,1,3,3.0,36-45
1865,C,Segmento_Medio,59,secundaria,casado,M,2,4,4.0,56-65
1866,A,Segmento_Joven,22,primaria,soltero,F,3,3,3.0,18-25
1867,A,Segemnto_Basico,45,primaria,soltero,M,3,3,1.0,36-45
1868,C,Segmento_Joven,18,primaria,soltero,M,3,4,,18-25
1869,A,Segemnto_Basico,61,primaria,soltero,F,3,4,3.0,56-65
1870,A,Segemnto_Basico,29,primaria,soltero,F,3,1,1.0,26-35
1871,C,Segmento_Medio,58,primaria,soltero,M,3,2,1.0,56-65
1872,A,Segemnto_Basico,45,primaria,casado,F,3,1,2.0,36-45
1873,A,Segmento_Medio,23,primaria,casado,F,3,3,3.0,18-25
1874,C,Segmento_Medio,30,primaria,viudo,F,3,1,,26-35
1875,A,Segemnto_Basico,52,primaria,soltero,F,3,3,1.0,46-55
1876,A,Segemnto_Basico,61,primaria,separado,M,3,4,2.0,56-65
1877,A,Segemnto_Basico,60,primaria,soltero,F,3,1,,56-65
1878,B,Segmento_Medio,22,tecnico_tecnologico,separado,M,1,2,2.0,18-25
1879,A,Segemnto_Basico,56,primaria,soltero,M,3,3,,56-65
1880,A,Segemnto_Basico,46,primaria,soltero,M,3,4,1.0,46-55
1881,C,Segmento_Joven,19,primaria,soltero,F,3,3,,18-25
1882,A,Segemnto_Basico,32,primaria,soltero,M,3,3,2.0,26-35
1883,A,Segemnto_Basico,40,primaria,viudo,F,3,2,1.0,36-45
1884,A,Segemnto_Basico,32,primaria,viudo,F,3,2,2.0,26-35
1885,B,Segmento_Medio,25,tecnico_tecnologico,soltero,F,1,2,3.0,18-25
1886,C,Segmento_Medio,45,primaria,viudo,M,3,2,1.0,36-45
1887,C,Segmento_Medio,40,primaria,viudo,M,3,4,,36-45
1888,A,Segemnto_Basico,40,primaria,separado,F,3,1,1.0,36-45
1889,A,Segemnto_Basico,61,primaria,soltero,M,3,4,3.0,56-65
1890,C,Segmento_Medio,27,tecnico_tecnologico,casado,M,1,4,4.0,26-35
1891,B,Segmento_Medio,59,tecnico_tecnologico,soltero,M,1,1,,56-65
1892,C,Segmento_Medio,22,primaria,separado,M,3,2,,18-25
1893,A,Segemnto_Basico,40,primaria,viudo,M,3,4,1.0,36-45
1894,B,Segmento_Medio,41,tecnico_tecnologico,soltero,F,1,1,3.0,36-45
1895,B,Segmento_Medio,59,tecnico_tecnologico,casado,F,1,3,1.0,56-65
1896,C,Segmento_Medio,46,tecnico_tecnologico,separado,F,1,3,4.0,46-55
1897,B,Segmento_Medio,37,tecnico_tecnologico,soltero,M,1,1,,36-45
1898,C,Segmento_Medio,56,tecnico_tecnologico,viudo,F,1,2,,56-65
1899,B,Segmento_Medio,54,tecnico_tecnologico,soltero,M,1,3,3.0,46-55
1900,C,Segmento_Medio,57,secundaria,casado,M,2,1,,56-65
1901,B,Segmento_Medio,18,tecnico_tecnologico,viudo,F,1,3,3.0,18-25
1902,A,Segmento_Joven,24,primaria,soltero,M,3,1,,18-25
1903,A,Segemnto_Basico,27,primaria,separado,F,3,3,1.0,26-35
1904,C,Segmento_Medio,23,primaria,viudo,M,3,4,,18-25
1905,C,Segmento_Medio,35,tecnico_tecnologico,soltero,M,1,1,,26-35
1906,A,Segemnto_Basico,45,primaria,casado,M,3,2,2.0,36-45
1907,A,Segemnto_Basico,51,primaria,viudo,M,3,3,,46-55
1908,C,Segmento_Medio,65,primaria,separado,F,3,4,,56-65
1909,A,Segemnto_Basico,40,primaria,soltero,F,3,1,,36-45
1910,A,Segemnto_Basico,65,primaria,soltero,F,3,3,1.0,56-65
1911,B,Segmento_Medio,39,secundaria,soltero,F,2,1,,36-45
1912,A,Segemnto_Basico,63,primaria,casado,F,3,1,2.0,56-65
1913,B,Segmento_Medio,49,secundaria,separado,M,2,1,1.0,46-55
1914,B,Segmento_Medio,19,tecnico_tecnologico,separado,M,1,2,,18-25
1915,B,Segmento_Medio,50,tecnico_tecnologico,soltero,M,1,1,1.0,46-55
1916,B,Segmento_Medio,45,tecnico_tecnologico,separado,F,1,1,2.0,36-45
1917,A,Segemnto_Basico,30,primaria,casado,F,3,2,1.0,26-35
1918,A,Segemnto_Basico,52,primaria,separado,F,3,2,3.0,46-55
1919,B,Segmento_Medio,40,tecnico_tecnologico,soltero,F,1,3,3.0,36-45
1920,A,Segemnto_Basico,54,primaria,separado,M,3,1,3.0,46-55
1921,C,Segmento_Medio,18,primaria,casado,M,3,3,,18-25
1922,A,Segmento_Medio,19,primaria,separado,M,3,1,1.0,18-25
1923,B,Segmento_Medio,57,tecnico_tecnologico,casado,F,1,4,4.0,56-65
1924,A,Segemnto_Basico,63,primaria,casado,M,3,3,1.0,56-65
1925,B,Segmento_Medio,52,tecnico_tecnologico,separado,F,1,4,1.0,46-55
1926,B,Segmento_Medio,34,tecnico_tecnologico,soltero,F,1,4,4.0,26-35
1927,A,Segmento_Joven,18,primaria,soltero,F,3,2,1.0,18-25
1928,B,Segmento_Medio,23,tecnico_tecnologico,casado,F,1,1,2.0,18-25
1929,A,Segemnto_Basico,37,primaria,soltero,F,3,1,2.0,36-45
1930,A,Segemnto_Basico,64,primaria,casado,F,3,1,2.0,56-65
1931,C,Segmento_Joven,22,primaria,soltero,F,3,4,,18-25
1932,C,Segmento_Medio,46,primaria,soltero,M,3,2,,46-55
1933,A,Segemnto_Basico,46,primaria,soltero,M,3,4,,46-55
1934,C,Segmento_Medio,44,primaria,soltero,M,3,2,,36-45
1935,A,Segmento_Joven,19,primaria,soltero,F,3,1,1.0,18-25
1936,A,Segemnto_Basico,61,primaria,casado,F,3,2,,56-65
1937,B,Segmento_Medio,37,tecnico_tecnologico,separado,F,1,3,,36-45
1938,A,Segemnto_Basico,36,primaria,separado,M,3,2,1.0,36-45
1939,B,Segmento_Medio,60,tecnico_tecnologico,casado,M,1,2,3.0,56-65
1940,A,Segmento_Medio,19,primaria,casado,F,3,3,1.0,18-25
1941,B,Segmento_Medio,24,tecnico_tecnologico,viudo,M,1,3,1.0,18-25
1942,C,Segmento_Medio,34,primaria,casado,M,3,1,,26-35
1943,A,Segemnto_Basico,53,primaria,separado,M,3,3,1.0,46-55
1944,A,Segemnto_Basico,63,primaria,soltero,M,3,1,2.0,56-65
1945,A,Segemnto_Basico,40,primaria,separado,F,3,3,1.0,36-45
1946,A,Segemnto_Basico,26,primaria,separado,M,3,1,1.0,26-35
1947,C,Segmento_Medio,51,primaria,separado,F,3,2,,46-55
1948,A,Segemnto_Basico,47,primaria,viudo,M,3,2,1.0,46-55
1949,C,Segmento_Medio,32,primaria,soltero,F,3,3,,26-35
1950,A,Segmento_Joven,19,primaria,soltero,F,3,3,1.0,18-25
1951,C,Segmento_Medio,20,primaria,viudo,F,3,4,,18-25
1952,A,Segemnto_Basico,57,primaria,soltero,M,3,2,1.0,56-65
1953,A,Segemnto_Basico,59,primaria,soltero,M,3,4,1.0,56-65
1954,A,Segemnto_Basico,43,primaria,viudo,F,3,4,1.0,36-45
1955,C,Segmento_Medio,42,primaria,casado,M,3,3,,36-45
1956,A,Segemnto_Basico,28,primaria,soltero,F,3,2,3.0,26-35
1957,A,Segemnto_Basico,55,primaria,casado,M,3,1,,46-55
1958,B,Segmento_Medio,35,tecnico_tecnologico,separado,F,1,3,4.0,26-35
1959,A,Segemnto_Basico,47,primaria,casado,M,3,2,2.0,46-55
1960,A,Segemnto_Basico,44,primaria,separado,M,3,2,,36-45
1961,A,Segemnto_Basico,43,primaria,viudo,F,3,4,1.0,36-45
1962,B,Segmento_Medio,33,secundaria,viudo,F,2,3,3.0,26-35
1963,A,Segemnto_Basico,50,primaria,soltero,M,3,4,2.0,46-55
1964,B,Segmento_Medio,49,secundaria,soltero,F,2,2,1.0,46-55
1965,C,Segmento_Medio,64,primaria,soltero,M,3,1,,56-65
1966,A,Segemnto_Basico,39,primaria,viudo,M,3,2,,36-45
1967,A,Segemnto_Basico,31,primaria,casado,F,3,1,1.0,26-35
1968,C,Segmento_Alto,35,tecnico_tecnologico,soltero,F,1,4,3.0,26-35
1969,C,Segmento_Medio,54,tecnico_tecnologico,casado,M,1,1,3.0,46-55
1970,A,Segmento_Joven,20,primaria,soltero,F,3,3,1.0,18-25
1971,C,Segmento_Medio,42,secundaria,viudo,M,2,3,,36-45
1972,A,Segemnto_Basico,49,primaria,separado,M,3,4,,46-55
1973,A,Segemnto_Basico,63,primaria,viudo,M,3,1,2.0,56-65
1974,C,Segmento_Medio,22,primaria,separado,M,3,4,1.0,18-25
1975,A,Segemnto_Basico,59,primaria,soltero,M,3,3,,56-65
1976,B,Segmento_Medio,51,tecnico_tecnologico,soltero,F,1,2,4.0,46-55
1977,A,Segemnto_Basico,53,primaria,soltero,F,3,3,,46-55
1978,A,Segemnto_Basico,64,primaria,soltero,F,3,4,,56-65
1979,B,Segmento_Medio,53,tecnico_tecnologico,soltero,F,1,3,,46-55
1980,A,Segemnto_Basico,29,primaria,soltero,M,3,4,1.0,26-35
1981,A,Segemnto_Basico,53,primaria,soltero,F,3,1,1.0,46-55
1982,A,Segemnto_Basico,38,primaria,soltero,M,3,4,1.0,36-45
1983,A,Segemnto_Basico,56,primaria,soltero,F,3,3,,56-65
1984,A,Segmento_Joven,22,primaria,soltero,M,3,3,1.0,18-25
1985,C,Segmento_Medio,32,primaria,separado,F,3,1,,26-35
1986,C,Segmento_Medio,28,primaria,soltero,F,3,3,,26-35
1987,A,Segemnto_Basico,35,primaria,casado,M,3,3,1.0,26-35
1988,A,Segemnto_Basico,29,primaria,separado,F,3,4,1.0,26-35
1989,A,Segemnto_Basico,49,primaria,soltero,M,3,4,3.0,46-55
1990,A,Segemnto_Basico,64,primaria,casado,F,3,3,1.0,56-65
1991,A,Segemnto_Basico,39,primaria,soltero,M,3,1,,36-45
1992,C,Segmento_Medio,26,primaria,casado,F,3,2,1.0,26-35
1993,A,Segemnto_Basico,65,primaria,soltero,M,3,3,3.0,56-65
1994,A,Segemnto_Basico,56,primaria,viudo,M,3,1,,56-65
1995,A,Segemnto_Basico,48,primaria,soltero,F,3,1,1.0,46-55
1996,A,Segemnto_Basico,38,primaria,soltero,F,3,2,1.0,36-45
1997,A,Segemnto_Basico,51,primaria,soltero,M,3,4,,46-55
1998,C,Segmento_Medio,42,tecnico_tecnologico,casado,F,1,4,,36-45
1999,A,Segemnto_Basico,43,primaria,viudo,M,3,4,,36-45
2000,A,Segemnto_Basico,65,primaria,soltero,F,3,4,1.0,56-65
2001,C,Segmento_Medio,23,primaria,casado,F,3,1,,18-25
2002,A,Segemnto_Basico,42,primaria,soltero,F,3,1,2.0,36-45
2003,A,Segemnto_Basico,34,primaria,soltero,F,3,3,1.0,26-35
2004,A,Segemnto_Basico,47,primaria,viudo,M,3,2,3.0,46-55
2005,A,Segemnto_Basico,27,primaria,soltero,F,3,4,1.0,26-35
2006,A,Segemnto_Basico,63,primaria,soltero,F,3,2,1.0,56-65
2007,C,Segmento_Medio,44,primaria,viudo,M,3,4,,36-45
2008,A,Segemnto_Basico,60,primaria,casado,F,3,2,3.0,56-65
2009,A,Segemnto_Basico,29,primaria,soltero,M,3,1,1.0,26-35
2010,C,Segmento_Medio,33,primaria,soltero,F,3,2,1.0,26-35
2011,A,Segemnto_Basico,62,primaria,casado,F,3,1,,56-65
2012,C,Segmento_Medio,36,primaria,casado,M,3,1,,36-45
2013,A,Segemnto_Basico,34,primaria,casado,F,3,1,3.0,26-35
2014,A,Segemnto_Basico,41,primaria,soltero,M,3,3,3.0,36-45
2015,A,Segemnto_Basico,27,primaria,soltero,M,3,4,3.0,26-35
2016,A,Segmento_Joven,24,primaria,soltero,M,3,4,1.0,18-25
2017,A,Segemnto_Basico,34,primaria,casado,F,3,2,,26-35
2018,C,Segmento_Medio,43,primaria,casado,M,3,2,,36-45
2019,B,Segmento_Medio,63,tecnico_tecnologico,soltero,F,1,4,2.0,56-65
2020,B,Segmento_Medio,35,tecnico_tecnologico,casado,F,1,1,1.0,26-35
2021,C,Segmento_Alto,40,tecnico_tecnologico,viudo,F,1,4,,36-45
2022,A,Segemnto_Basico,48,primaria,soltero,F,3,2,,46-55
2023,A,Segemnto_Basico,34,primaria,casado,M,3,4,,26-35
2024,C,Segmento_Medio,43,primaria,separado,F,3,2,,36-45
2025,A,Segemnto_Basico,40,primaria,viudo,F,3,3,2.0,36-45
2026,A,Segemnto_Basico,34,primaria,soltero,M,3,2,2.0,26-35
2027,B,Segmento_Medio,44,secundaria,soltero,M,2,3,3.0,36-45
2028,C,Segmento_Joven,23,primaria,soltero,F,3,4,,18-25
2029,A,Segemnto_Basico,62,primaria,viudo,M,3,1,3.0,56-65
2030,B,Segmento_Medio,42,tecnico_tecnologico,separado,F,1,2,4.0,36-45
2031,C,Segmento_Medio,57,tecnico_tecnologico,viudo,F,1,2,3.0,56-65
2032,A,Segemnto_Basico,31,primaria,soltero,F,3,2,1.0,26-35
2033,A,Segmento_Medio,18,primaria,casado,F,3,3,2.0,18-25
2034,B,Segmento_Medio,18,tecnico_tecnologico,viudo,M,1,2,4.0,18-25
2035,A,Segmento_Joven,23,primaria,soltero,F,3,2,,18-25
2036,B,Segmento_Medio,62,tecnico_tecnologico,soltero,M,1,3,3.0,56-65
2037,A,Segemnto_Basico,40,primaria,separado,F,3,1,1.0,36-45
2038,A,Segemnto_Basico,53,primaria,casado,M,3,2,1.0,46-55
2039,C,Segmento_Medio,46,primaria,soltero,F,3,4,,46-55
2040,C,Segmento_Medio,59,secundaria,separado,M,2,4,,56-65
2041,B,Segmento_Medio,54,secundaria,separado,F,2,4,2.0,46-55
2042,A,Segmento_Medio,22,primaria,casado,M,3,3,1.0,18-25
2043,B,Segmento_Medio,64,secundaria,soltero,M,2,4,2.0,56-65
2044,B,Segmento_Medio,57,tecnico_tecnologico,separado,F,1,1,2.0,56-65
2045,B,Segmento_Medio,37,secundaria,separado,F,2,3,1.0,36-45
2046,A,Segmento_Joven,19,primaria,soltero,F,3,1,1.0,18-25
2047,C,Segmento_Medio,65,primaria,casado,M,3,3,,56-65
2048,A,Segemnto_Basico,49,primaria,soltero,M,3,4,2.0,46-55
2049,A,Segemnto_Basico,46,primaria,soltero,F,3,2,1.0,46-55
2050,C,Segmento_Medio,37,primaria,viudo,M,3,4,1.0,36-45
2051,A,Segemnto_Basico,59,primaria,soltero,F,3,3,,56-65
2052,B,Segmento_Joven,19,tecnico_tecnologico,soltero,M,1,2,2.0,18-25
2053,C,Segmento_Medio,31,primaria,soltero,M,3,1,,26-35
2054,A,Segemnto_Basico,25,primaria,soltero,M,3,1,1.0,18-25
2055,A,Segemnto_Basico,36,primaria,soltero,F,3,3,1.0,36-45
2056,A,Segmento_Medio,19,primaria,separado,F,3,3,1.0,18-25
2057,A,Segmento_Joven,21,primaria,soltero,M,3,1,2.0,18-25
2058,C,Segmento_Medio,63,primaria,separado,M,3,4,,56-65
2059,C,Segmento_Medio,31,primaria,viudo,F,3,4,,26-35
2060,C,Segmento_Medio,54,primaria,soltero,M,3,1,1.0,46-55
2061,C,Segmento_Medio,58,tecnico_tecnologico,soltero,F,1,1,,56-65
2062,A,Segemnto_Basico,41,primaria,soltero,F,3,2,1.0,36-45
2063,A,Segmento_Medio,19,primaria,viudo,M,3,4,1.0,18-25
2064,A,Segemnto_Basico,65,primaria,soltero,F,3,3,3.0,56-65
2065,A,Segemnto_Basico,36,primaria,viudo,F,3,3,1.0,36-45
2066,A,Segemnto_Basico,55,primaria,soltero,M,3,1,2.0,46-55
2067,B,Segmento_Joven,20,tecnico_tecnologico,soltero,F,1,3,4.0,18-25
2068,A,Segemnto_Basico,51,primaria,casado,M,3,3,,46-55
2069,C,Segmento_Medio,40,secundaria,separado,M,2,2,,36-45
2070,A,Segemnto_Basico,52,primaria,casado,M,3,3,3.0,46-55
2071,B,Segmento_Medio,49,secundaria,separado,F,2,3,4.0,46-55
2072,A,Segemnto_Basico,63,primaria,separado,M,3,1,,56-65
2073,A,Segemnto_Basico,36,primaria,casado,F,3,2,1.0,36-45
2074,A,Segemnto_Basico,59,primaria,soltero,M,3,4,1.0,56-65
2075,B,Segmento_Medio,34,secundaria,soltero,M,2,1,4.0,26-35
2076,C,Segmento_Medio,31,secundaria,soltero,M,2,4,4.0,26-35
2077,C,Segmento_Medio,25,primaria,separado,F,3,1,,18-25
2078,A,Segemnto_Basico,31,primaria,soltero,M,3,1,1.0,26-35
2079,C,Segmento_Medio,61,tecnico_tecnologico,soltero,M,1,2,,56-65
2080,A,Segemnto_Basico,56,primaria,viudo,F,3,4,2.0,56-65
2081,B,Segmento_Medio,40,tecnico_tecnologico,soltero,M,1,3,2.0,36-45
2082,B,Segmento_Medio,38,secundaria,soltero,F,2,2,3.0,36-45
2083,A,Segemnto_Basico,29,primaria,soltero,F,3,1,3.0,26-35
2084,A,Segmento_Medio,23,primaria,casado,M,3,2,3.0,18-25
